iter	Passed	Remaining
0	147	147457
1	151	75455
2	153	50876
3	154	38382
4	157	31300
5	160	26528
6	160	22823
7	163	20232
8	164	18088
9	165	16408
10	166	14969
11	167	13818
12	168	12794
13	169	11939
14	170	11175
15	170	10516
16	172	9948
17	173	9438
18	173	8980
19	174	8562
20	175	8180
21	176	7835
22	176	7517
23	177	7222
24	178	6952
25	178	6698
26	179	6464
27	179	6246
28	180	6041
29	180	5850
30	181	5669
31	181	5500
32	182	5341
33	182	5192
34	183	5051
35	183	4918
36	184	4792
37	184	4673
38	185	4559
39	185	4450
40	185	4349
41	186	4254
42	187	4162
43	187	4075
44	188	3992
45	188	3910
46	188	3831
47	189	3755
48	189	3683
49	190	3613
50	190	3546
51	190	3481
52	191	3419
53	191	3359
54	192	3301
55	192	3246
56	192	3192
57	193	3139
58	193	3090
59	194	3041
60	194	2994
61	194	2948
62	195	2905
63	195	2862
64	196	2821
65	196	2782
66	197	2744
67	197	2706
68	197	2670
69	198	2634
70	198	2599
71	199	2565
72	199	2532
73	199	2500
74	200	2469
75	200	2439
76	201	2409
77	201	2380
78	201	2353
79	202	2327
80	202	2301
81	203	2275
82	203	2248
83	203	2223
84	204	2199
85	204	2176
86	205	2153
87	205	2130
88	205	2108
89	206	2086
90	206	2065
91	207	2044
92	207	2024
93	207	2004
94	208	1984
95	208	1965
96	209	1946
97	209	1927
98	209	1910
99	210	1892
100	210	1875
101	211	1858
102	211	1841
103	211	1825
104	212	1809
105	212	1794
106	213	1778
107	213	1763
108	213	1748
109	214	1734
110	214	1719
111	215	1705
112	215	1691
113	215	1678
114	216	1665
115	216	1652
116	217	1639
117	217	1626
118	218	1614
119	218	1601
120	218	1589
121	219	1576
122	219	1565
123	219	1553
124	220	1542
125	220	1531
126	221	1519
127	221	1508
128	221	1497
129	222	1487
130	222	1476
131	222	1466
132	223	1455
133	223	1446
134	224	1436
135	224	1426
136	224	1417
137	225	1407
138	225	1398
139	226	1389
140	226	1380
141	226	1370
142	227	1361
143	227	1353
144	228	1344
145	228	1336
146	228	1328
147	229	1319
148	229	1311
149	230	1303
150	230	1295
151	230	1287
152	231	1280
153	231	1273
154	232	1265
155	232	1258
156	232	1250
157	233	1243
158	233	1236
159	234	1229
160	234	1221
161	234	1214
162	235	1207
163	235	1200
164	235	1194
165	236	1187
166	236	1180
167	237	1174
168	237	1167
169	237	1161
170	238	1155
171	238	1149
172	239	1143
173	239	1137
174	239	1131
175	240	1125
176	240	1119
177	241	1113
178	241	1107
179	241	1102
180	242	1096
181	242	1090
182	243	1085
183	243	1079
184	243	1074
185	244	1068
186	244	1063
187	245	1058
188	245	1053
189	245	1048
190	246	1043
191	246	1038
192	247	1033
193	247	1028
194	248	1023
195	248	1018
