iter	Passed	Remaining
0	0	517
1	0	461
2	1	431
3	1	410
4	2	400
5	2	394
6	2	385
7	3	379
8	3	383
9	3	383
10	4	386
11	4	387
12	5	386
13	5	389
14	5	389
15	6	384
16	6	386
17	7	390
18	7	390
19	8	395
20	8	398
21	8	396
22	9	395
23	9	392
24	10	392
25	10	391
26	10	389
27	11	389
28	11	389
29	12	389
30	12	388
31	12	388
32	13	386
33	13	388
34	14	387
35	14	387
36	14	386
37	15	384
38	15	384
39	15	383
40	16	383
41	16	382
42	17	381
43	17	382
44	18	383
45	18	383
46	18	382
47	19	382
48	19	383
49	20	383
50	20	384
51	21	384
52	21	386
53	22	388
54	22	390
55	23	392
56	23	392
57	24	392
58	24	392
59	25	393
60	25	393
61	25	392
62	26	392
63	26	392
64	27	393
65	27	394
66	28	394
67	28	394
68	29	394
69	29	394
70	30	395
71	30	395
72	31	395
73	31	394
74	31	394
75	32	394
76	32	393
77	33	392
78	33	392
79	34	393
80	34	393
81	35	393
82	35	390
83	35	389
84	36	389
85	36	389
86	37	390
87	37	390
88	38	390
89	38	390
90	39	391
91	39	391
92	40	391
93	40	391
94	41	390
95	41	390
96	41	390
97	42	390
98	42	391
99	43	391
100	43	391
101	44	390
102	44	390
103	45	390
104	45	390
105	46	389
106	46	389
107	47	388
108	47	388
109	47	388
110	48	388
111	48	387
112	49	387
113	49	387
114	50	387
115	50	387
116	51	386
117	51	385
118	52	385
119	52	385
120	53	385
121	53	384
122	53	384
123	54	384
124	54	384
125	55	384
126	55	383
127	56	383
128	56	382
129	57	382
130	57	381
131	58	381
132	58	381
133	58	380
134	59	380
135	59	379
136	60	379
137	60	379
138	61	379
139	61	378
140	62	378
141	62	376
142	62	376
143	63	375
144	63	374
145	64	374
146	64	374
147	64	374
148	65	373
149	65	373
150	66	372
151	66	372
152	67	371
153	67	371
154	68	371
155	68	370
156	68	369
157	69	369
158	69	368
159	70	368
160	70	366
161	70	366
162	71	365
163	71	364
164	72	364
165	72	363
166	72	363
167	73	362
168	73	362
169	74	361
170	74	360
171	74	360
172	75	359
173	75	359
174	76	358
175	76	358
176	76	357
177	77	356
178	77	356
179	78	355
180	78	355
181	78	354
182	79	354
183	79	353
184	80	352
185	80	352
186	80	351
187	81	350
188	81	350
189	82	350
190	82	350
191	83	349
192	83	349
193	83	348
194	84	347
195	84	347
196	85	346
197	85	346
198	85	345
199	86	345
200	86	344
201	87	344
202	87	343
203	87	342
204	88	342
205	88	341
206	89	341
207	89	340
208	89	340
209	90	339
210	90	339
211	91	338
212	91	338
213	91	337
214	92	337
215	92	336
216	93	335
217	93	335
218	93	334
219	94	334
220	94	333
221	95	333
222	95	332
223	95	332
224	96	331
225	96	331
226	97	330
227	97	330
228	97	329
229	98	329
230	98	328
231	99	328
232	99	327
233	99	327
234	100	326
235	100	325
236	101	325
237	101	324
238	101	324
239	102	323
240	102	323
241	102	322
242	103	321
243	103	321
244	104	320
245	104	320
246	104	319
247	105	319
248	105	318
249	106	318
250	106	317
251	106	317
252	107	316
253	107	316
254	108	315
255	108	315
256	108	314
257	109	314
258	109	313
259	109	312
260	110	312
261	110	311
262	111	311
263	111	310
264	111	310
265	112	310
266	112	309
267	113	309
268	113	308
269	113	308
270	114	307
271	114	307
272	115	306
273	115	306
274	115	305
275	116	305
276	116	304
277	117	304
278	117	303
279	117	303
280	118	302
281	118	302
282	119	301
283	119	301
284	120	301
285	120	301
286	121	300
287	121	300
288	121	299
289	122	299
290	122	298
291	122	298
292	123	297
293	123	297
294	124	296
295	124	296
296	124	295
297	125	295
298	125	294
299	126	294
300	126	294
301	127	293
302	127	293
303	127	292
304	128	292
305	128	291
306	129	291
307	129	290
308	129	290
309	130	289
310	130	289
311	130	288
312	131	288
