iter	Passed	Remaining
0	0	70
1	1	57
2	1	57
3	2	56
4	2	56
5	3	54
6	4	53
7	4	51
8	5	50
9	5	50
10	5	48
11	6	47
12	6	46
13	7	46
14	8	45
15	8	45
16	9	44
17	9	44
18	10	43
19	10	42
20	11	42
21	11	41
22	12	41
23	12	40
24	13	40
25	13	39
26	14	39
27	15	39
28	15	38
29	16	38
30	16	37
31	17	36
32	17	36
33	18	35
34	18	35
35	19	34
36	19	34
37	20	33
38	20	32
39	21	32
40	21	31
41	22	31
42	23	30
43	23	29
44	23	29
45	24	28
46	25	28
47	25	27
48	26	27
49	26	26
50	27	26
51	27	25
52	28	25
53	28	24
54	29	24
55	29	23
56	30	23
57	31	22
58	31	22
59	32	21
60	32	21
61	33	20
62	34	20
63	34	19
64	35	18
65	35	18
66	36	17
67	36	17
68	37	16
69	37	16
70	38	15
71	38	15
72	39	14
73	39	13
74	40	13
75	40	12
76	41	12
77	42	11
78	42	11
79	42	10
80	43	10
81	43	9
82	44	9
83	44	8
84	45	8
85	46	7
86	46	6
87	47	6
88	47	5
89	48	5
90	48	4
91	49	4
92	49	3
93	50	3
94	50	2
95	51	2
96	51	1
97	52	1
98	52	0
99	53	0
